mine_name,latitude,longitude
Hatti gold Mines,16.197,76.66
Bagdona-Chhatarpur mine ,22.13761111,78.09977778
Manganese Ore India Limited,21.17647222,79.05472222
Oil India Limited: Pipeline HQ,26.17169444,91.83494444
Umrangso,25.57369985,92.82165717
Kankanee Colliery,23.795532,86.330604
Khottadih colliery,23.7244,87.233
Kakatiya Khani Opencast-III Mine,18.434261,79.857403
Gangaramchak Mining Private Limited colliery,23.81116575,87.21068432
Kabribad Reorganised   Mine,24.14983333,86.30727778
Sawar Marble Mine,25.75030556,75.21722222
Sial Ghoghri coal mine,22.16080556,78.70005556
No.1 pit of the No. 2   Colliery of ECL,23.68583333,86.86097222
Sulebyle Building Stone   Quarry  at survey no. 1,14.22755556,75.57777778
Mankhand GraniteMine,25.99633333,75.28236111
Bharatpur Open Cast   Project Mine,20.96130556,85.12377778
Palaspani Manganese   Mine,21.84077778,79.96272222
Kalyanikhani No. 1   incline Mine,18.47936111,79.83913889
Pahara Stone Mine,25.22513889,80.76805556
Garjanbahal Open Cast   Project Mine,22.02111111,83.71388889
Churcha Mine,23.33416667,82.52
NMDC iron ore plant's   SP-3 mine,19.10697222,82.16416667
Abandoned open cast   mine ,22.0275,82.11241667
Granite Mine,24.80269444,72.98569444
Sri Someshwara   Properties  Pvt.Ltd.,13.02122222,77.61969444
Rathole mining,25.90525,93.69633333
Daharra Stone Mine    ,24.75208333,79.85311111
Narayankuri colliery ,23.59672222,87.09880556
Mid West Granite Company,16.99380556,80.05288889
GDK-11 incline underground coal mine,18.6917,79.5494
Lloyds Metals and Energy Limited,19.7704,79.8136
Garjanbahal opencast mine ,21.99527778,83.77388889
Rajgamar mine of SECL,22.3906,82.8244
Illegal mining site of Kaparsa Colliery,23.7585,86.7545
Illegal mine in Khadakwani,22.08444444,75.46666667
Coal mine in Shallang area of West Khasi Hills,25.56594444,91.91069444
Abandoned coal mine -  Gopinathpur Open Cast Project  ,23.78025,85.90555556
Bhiwani mining site,28.799,76.1335
SRP-3 mine in Srirampur in Mancherial district,18.75,79.25
Mining site for quartz stone,27.70958333,76.12652778
Central Asset Mine- OCS Tengakhat,27.38511111,95.16630556
Rampura Agucha  Mine,25.84181995,74.75448912
Sonepur Bazari Opencast Project Mine,23.688231,87.223763
Kakatiya Khani  coalmine,18.433594,79.858582
Moonidih Coal Project area ,23.73888889,86.3475
Mathur quarry  ,13.24053,79.567192
Illegal mica mine ,23.80519444,86.49897222
Illegal coal mines ,25.62325,91.86336111
Khudiya Kadan mine ,23.773738,86.729687
Srirampur RK 5B underground mine ,18.88,79.502222
Kusmunda OC Mine,22.255,82.70222222
Kurasia Underground Mine,23.178488,82.368221
Churcha Mine,23.335952,82.519611
Ananta Opencast Mine,20.95338889,85.15341667
Ramakrishnapur Opencast Project Mine,18.903056,79.465833
Granite Building Stone Quarry Mine,9.151027778,76.78622222
Hirakund Bundia Mine,21.78183333,83.91513889
Ravindra Khani No. 6 Incline Mine,18.89080556,79.50225
Mungoli Opencast Mine,20.05,78.95
Krishna Sai Granite Mine II,15.56144444,79.92666667
Bharatpur Opencast Mine,20.96611944,85.184925
Bhubneshwari Colliery,20.96919444,85.17644444
Dinesh Granite Mine,12.89402778,77.76227778
Balram Opencast Mine,20.95083333,85.10052778
Hutti Gold Mine,16.19694444,76.66
Kalane Iron Ore Mine,15.76805556,73.92583333
Kammaturu Iron Ore Mine,15.01105556,76.58033333
Balram OCP,20.95083333,85.10052778
Muthurayaswamy Stone Crusher,12.72255556,77.92197222
Gare Palma IV/4 Coal mine,22.1419,83.56048611
Kalipahari Colliery,23.65,87.06666667
Midwest Granite Mine,17.41311111,78.43130556
Khottadih Colliery,23.72555556,87.23861111
Illegal rat-hole coal mine,25.40002778,91.95011111
Kumda 7&8 Inclines Mine ,23.23647222,82.9985
Lingaraj Opencast Project,20.96066667,85.20072222
Jharia Underground Mine ,23.73333333,86.41666667
Dhori Khas Colliery ,23.78005556,86.01344444
Kulda OCP ,22.03291667,83.74975
Koyagudem Opencast Mine -1 ,17.6256,80.4867
Garjanbahal OCP .,22.0345,83.7427
Bharatpur Opencast Mine ,20.94433333,85.10891667
Koyla Colliery ,23.80633333,86.46341667
Peddapuram Granite Mine ,17.0757,82.136
Tapin North OCP ,23.75,86.05
Dhedwas Iron Ore and Associated Mineral   Mine ,25.3264,74.5383
BVL Exports Granite Mine ,15.37483333,80.04316667
Bagjata Mine of Uranium Corporation ,22.4686,86.4917
Jamdiha Stone Mine ,23.90091667,86.47175
Birmitrapur Limestone & Dolomite   Mine,22.4074,84.7174
KTK-OC-1 of Singareni Collieries   Company Ltd.,18.4661,79.8401
Kanchan Opencast Mine ,23.36355556,80.86111111
Purnadih OCP ,23.70616667,85
KSR Stone Quarry ,17.98341667,83.36438889
Malanjkhand Copper Mine,22.00960535,80.71349002
Kalugotla Yellow Ocher Mine,15.5792,78.0267
Jagannath Colliery ,20.9244747,85.1447437
Ramagundam OC III Mine,18.6782,79.5406
Amrapali OCP ,23.889479,85.00171
Gevra Opencast Mine ,22.35,82.68
Lignite Mine - II ,11.45,79.58333333
RG OC2 Mine ,17.44897222,78.43752778
Kalwan Masonry Stone Mine ,26.85825,75.75847222
Gauti Expansion OC Mine ,19.7874,79.2972
Samleswari Opencast Mine ,21.80063889,83.89330556
East Coast Ball Clay Mine ,14.02,79.31838889
Manikpur Opencast Mine ,22.3217,82.7381
Manuguru OCP,17.9312,80.8266
Prakasham Khani Opencast Mine ,17.96016667,80.77125
Rewat Dungri Range Marble Mine  ,27.04536111,74.697
Godavari Khani 1 & 3 Incline Mine ,18.74113889,79.52711111
Maheswari Manganese Mine,18.49625,83.31230556
Codli Iron Ore Mine,15.34066667,74.12963889
Panchpatmali  Bauxite Mine,18.85647222,83.02075
Phularitand Colliery,23.78208333,86.22286111
GDK 7 LEP Mine,18.72888889,79.51986111
Massaro Ki Oberi Serpentine Mine,24.01291667,73.68852778
Ravindrakhani Newtech Mine,18.8958,79.4917
Srinivasa Stone Crusher Mine,15.9817,80.0384
Ramagundam Opencast Mine ,18.6976,79.5352
Gorumahisani Iron Ore Mine,22.3367,86.2742
Srinivasa Granite Mine,16.05447222,80.01447222
Ravindrakhani No. 8 Incline Mine,18.8958,79.4917
Baround Opencast Mine,18.84413889,79.49713889
Bhurkunda  Colliery,23.7461,85.5831
Gouthamkhani Opencast Mine,17.2615,80.3738
Nawada-Purnadih Stone Mine,24.87888889,85.54136111
Pavitra Dharati Stone Quarry,22.68733333,74.7705
Ostapal Chromite Mine,21.0574,85.7895
Chikla Manganese Mine,21.55086111,79.75127778
Mehsana Drilling Mine,23.56475,72.37158333
Kaniha Opencast Mine,21.07880556,85.04097222
Dudhichua Opencast Project,24.1167,82.7167
Lalmatia open cast coal mine ,24.4167,87.5167
Prakasham Khani Opencast Mine,17.968,80.78561111
Bharatpur Opencast Project,20.9575,85.1289
Vindya Underground Mine,23.33580556,80.90575
Pali Underground Mine,22.3775,82.3255
Manuguru Opencast Mine,17.9312,80.8266
Shanthi Khani Coal Mine,19.0444,79.5178
SHANKARPUR,21.6391458,87.5741159
AMLOHRI OCP,24.125,82.5994
GELEKI PRODUCTION OIL MINE,26.817,94.7
RAMPURA AGUCHA LEAD & ZINC OPEN   CAST MIN,25.833,74.733
SOHAGPUR WEST,23.2386,81.2861
AMALGAMATED KESHALPUR-WEST MUDIDIH,23.8044363,86.31800205
TANDSI 1/2 COLLIERY,21.573,78.921
PRAKASHAM KHANI OPENCAST MINE,18.436,79.938
MIDWEST GRANITE MINE,15.9129,79.74
KAYAD UNDERGROUND MINE,26.283,74.733
CHURCHA WEST,23.14,82.587
BHARATPUR PROJECT,20.9250694,85.1326681
MOHANPUR,21.832377,87.38920668
KHAS KAJORA,23.6279738,87.1949619
TANTRA-RAIKELA & BANDHAL IRON   MINE,21.945,85.147
Thoria Marble Mine,25.076,73.88
JEENAGORA,23.785,86.182
ARASU I MAGNESITE MINE,11.437,78.167
P.B.PROJECT,23.66,85.596
KARANKOTE LIMESTONE MINE,17.487,77.591
CHECHAT LIMESTONE MINE ,24.885,75.985
Red Hills Magnesite Mine,11.451,78.167
JHANJHAR MARBLE MINE ,25.19,73.687
NEYVELI NO 1,11.535987,79.4824392
SAMLESWARI OCP,21.692,83.56
Hutti Gold Mine,16.197,76.656
VEERBHADRA GRANITE MINE,25.156,73.509
CHANDRIKA GRANITE MINE,25.171,73.524
MOCHIA LEAD AND ZINK MINE,25.04,73.805
MORWAD MARBLE MINE,26.30758333,73.835
POOTKEE,23.667,86.432
KARO I,23.7851802,85.9782986
BILLI MARKUNDI STONE MINE,24.618,83.077
KUSMUNDA OCP,22.367,23.74408333
GODAVARI KHANI NO.1,18.7641843,79.5046501
"KUMARDIHI ""A""",23.666,87.077
TRIPURA DRILLING MINE,23.748,91.387
BILLI MARKUNDI STONE   MINE,24.618,83.077
DURGAPUR RAYATWARI,20.024,79.266
LIGNITE PROJECT TADKESHWAR,21.453,73.075
ROCP/SOUTH JHARIA,23.731,86.414
BARSUA IRON ORE MINE,21.968,85.217
MASARO KI OBERI SERPENTINE MINE,25,73
AGARIA MARBLE MINE,25.15,73.567
KUMARDHUBI,23.7421106,86.7787756
GURH LIGNITE OPENCAST MINE,27.874,72.872
JAWAHAR KHANI OPENCAST,17.5783,80.3225
BILLI MARKUNDI STONE MINE,24.621031,83.042175
SRIRAMPUR OCP,18.8178,79.5339
TAWA - II MINE,22.137615,78.170928
CHANDA RAYATWARI,19.95076,79.29523
DAMNI UG MINE,22.35833333,82.70222222
KUSMUNDA OCP,23.2074,83.0056
KUMDA 7&8 INCLIE,23.23647222,82.99838889
MEGHATUBURU IRON ORE MINE,22.10880556,85.27872222
SETHURAYANPUDUR LIMESTONE MINE,8.781944444,77.65411111
KHETRI COPPER MINE,28.015,75.77556
DALLI MECHANISED IRON ORE MINE,20.58261111,81.07147222
BONJAMEHARI,20.570856,81.021508
MORWAD MARBLE MINE,26.60466667,74.85147222
UMARSAR LIGNITE MINE,23.73147222,68.81922222
NIZARNA MARBLE MINE,25.01033333,73.85236111
ANKLESWAR PROJECT OIL MINE,21.63513889,73.00033333
UMRAYA MARBLE MINE,25.15130556,73.84222222
CHIRIMIRI OC,23.17666667,82.33888889
SRIRAMPUR NO.3 & 3 A,18.75,79.25
GOURI EXPANSION AMALGAMATED MINE,19.79555556,79.30333333
DHELANA SERPENTINE MINE,25.01736111,74.15041667
ARDHAGRAM OPENCAST COAL MINE,23.5875,87.08583333
NCPH/NCPH,23.19444444,82.34888889
SHYAMSUNDARPUR,20.44719444,85.79177778
ASAHI INDIA GLASS LTD.,25.50191667,87.01236111
BASANTIMATA,23.7297383,86.7578692
VENKATESH KHANI NO.7,17.4519444,80.6916667
SETHURAYANPUDUR LIMESTONE MINE,8.784416667,77.65505556
BILLI MARKUNDI STONE,24.621031,83.042175
GOURI EXPANSION AMALGAMATED MINE,19.7874,79.2972
MASARO KI OBERI SERPENTINE MINE,24.01361111,73.68852778
BALAKUNDI PINK GRANITE MINE,15,76
SUBBRAYANAHALLI IRON ORE MINE,15.23475,76.39847222
AKASHKINARI,23.8085,86.28461111
BAGDEWA U/G MINE,22.34166667,82.56777778
KHOTTADIH,23.7247557,87.2384526
DURGAPUR RAYATWARI,20.01413889,79.31052778
RAVINDRA KHANI NEW TECH,18.88811111,79.50166667
CHIKLA MANGANESE MINE,21.54305556,79.75388889
MOHER & MOHER AMLOHRI EXTENSION   OCP,24.135,82.59944444
JHANJHAR MARBLE MINE,25.14688889,73.79036111
KARGALI OCP,23.76888889,85.97166667
CHECHAT LIMESTONE MINE,24.76666667,75.88333333
BILLI MARKUNDI STONE   MINE,24.62103056,83.042175
BHUBANESWARI OPENCAST PROJECT,20.96611944,85.184925
GIDI A,23.6908728,85.3641194
Basanti mata mine,23.7308,86.7561
Anjani Hill Mine ,23.16677778,82.32158333
Bagdigi mine ,23.70894444,86.43161111
Gajlitand colliery ,24.12430556,86.86091667
Chasnala coal mine ,23.6635,86.4516
